flags,utterance,category,intent
BIP,how could I change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,I want help to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BL,help me correcting the delivery address,SHIPPING_ADDRESS,change_shipping_address
B,I need assistance changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
BIP,could I change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BLQZ,i dont know hwat i need to do to edit the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I don't know what I need to do to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,tell me more about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BP,I would like information about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BP,I would like to know about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
BL,I want help to update my address,SHIPPING_ADDRESS,change_shipping_address
B,give me information about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,find information about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BLMQ,i want supports modifying my address,SHIPPING_ADDRESS,change_shipping_address
B,I want help trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I need assistance to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BKM,issues changing shipping address,SHIPPING_ADDRESS,change_shipping_address
B,tell me about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,help me to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I have put the old address by mistake,SHIPPING_ADDRESS,change_shipping_address
BIP,how could I get information about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
B,tell me about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BI,where can I change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BIP,could you help me change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BE,I do not know how to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BIL,how do I modify my delivery address?,SHIPPING_ADDRESS,change_shipping_address
BLM,supports trying to update my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I need help trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BL,tell me more about updating my address,SHIPPING_ADDRESS,change_shipping_address
BI,how can I get information about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
BP,I would like to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I need to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BE,I cannot change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BCILQ,the address has changed can i edit it,SHIPPING_ADDRESS,change_shipping_address
BELZ,I do not knlw what I have to do to correct the address,SHIPPING_ADDRESS,change_shipping_address
BELQZ,i do not know how to editmy shipping address,SHIPPING_ADDRESS,change_shipping_address
B,the shipping address changed,SHIPPING_ADDRESS,change_shipping_address
B,I have an issue changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIP,could you tell me more about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
BELZ,I am looking for information about azn address modification,SHIPPING_ADDRESS,change_shipping_address
BLZ,I nede support trying to correct the delivery address,SHIPPING_ADDRESS,change_shipping_address
BL,there is a problem updating my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can you tell me about changing my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,give me information about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BIP,how could I change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BL,help me changing my delivery address,SHIPPING_ADDRESS,change_shipping_address
BL,help me correct my delivery address,SHIPPING_ADDRESS,change_shipping_address
BILQ,can uhelp me modify the address,SHIPPING_ADDRESS,change_shipping_address
BL,help changing my address,SHIPPING_ADDRESS,change_shipping_address
BIP,where could I change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,I need information about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I need help to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,what do I need to do to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BLM,I have problems updating the delivery address,SHIPPING_ADDRESS,change_shipping_address
B,I want to know about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
B,I want to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BELQZ,i cannot upodate my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,what do I have to do to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BKL,error editing shipping address,SHIPPING_ADDRESS,change_shipping_address
B,information about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can you tell me more about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
BE,I do not know what to do to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BP,I would like to know about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BIL,what do I need to do to correct the address?,SHIPPING_ADDRESS,change_shipping_address
B,I want assistance to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can I change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BI,where do I change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BI,can you tell me about changing the shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,tell me more about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BLQ,i have a trouble trying to modify the shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can you help me to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,give me information about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,information about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BLQ,i have submitted a wrong shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I want information about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
B,I need assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BP,I would like information about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,help me to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BK,change shipping address,SHIPPING_ADDRESS,change_shipping_address
BLQ,need help trying to modify my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I want information about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I don't know what to do to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I don't know how I can change the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,help to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I have a problem with a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BI,how do I change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,I have an issue trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BM,I have issues trying to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BK,issue changing shipping address,SHIPPING_ADDRESS,change_shipping_address
B,find information about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
BLQ,want support changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can I change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,I need help with a shipping address change,SHIPPING_ADDRESS,change_shipping_address
B,I am trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BELZ,I cannot corrdct my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIP,could you tell me about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
BLW,I have an error updating the damn shipping address,SHIPPING_ADDRESS,change_shipping_address
BE,I cannot change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can you help me changing the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BLQW,i have an issue trying to edit my goddamn delivery address,SHIPPING_ADDRESS,change_shipping_address
BI,is it possible to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BM,problems with a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BIP,could you tell me about changing the shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,help me changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BCLQ,i have got to change the delivery address i need help,SHIPPING_ADDRESS,change_shipping_address
BILWZ,how can I find information about editing the damn address ?,SHIPPING_ADDRESS,change_shipping_address
BL,there is a problem trying to update the delivery address,SHIPPING_ADDRESS,change_shipping_address
B,change the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I am trying to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BL,support trying to correct my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I don't know what to do to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIL,how to correct my address?,SHIPPING_ADDRESS,change_shipping_address
BLM,I have errors trying to update my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,help me change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,what do I have to do to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BP,I would like to know more about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BLMQ,i have errors trying to update the delivery address,SHIPPING_ADDRESS,change_shipping_address
BL,assistance editing my delivery address,SHIPPING_ADDRESS,change_shipping_address
BI,can you tell me more about changing my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,I have got to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BM,I have issues changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can you help me changing my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,I have to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I need help to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can you help me to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BEP,I do not know how I could change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I don't know how I can change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,help changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BP,I would like information about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,help trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BL,I have got to edit the address,SHIPPING_ADDRESS,change_shipping_address
BIP,would it be possible to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BM,I have issues trying to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,how to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BL,I don't know what to do to modify the delivery address,SHIPPING_ADDRESS,change_shipping_address
BP,I don't know how I could change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BCLQ,my address has changed help me changing it,SHIPPING_ADDRESS,change_shipping_address
B,find information about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BELQ,i do not know how i can edit my address,SHIPPING_ADDRESS,change_shipping_address
B,assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,assistance to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I want to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BIL,can you help me to correct the delivery address?,SHIPPING_ADDRESS,change_shipping_address
B,I need assistance with a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BE,I do not know how I can change the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I need help changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,how do I change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BELZ,I cannot update my delivery addrses,SHIPPING_ADDRESS,change_shipping_address
BLQ,need to modify my shipping address,SHIPPING_ADDRESS,change_shipping_address
BL,I try to correct my shipping address,SHIPPING_ADDRESS,change_shipping_address
BLM,there are problems updating the delivery address,SHIPPING_ADDRESS,change_shipping_address
BI,how to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BELQZ,i do not know what to do to correct my shipping  address,SHIPPING_ADDRESS,change_shipping_address
BLQW,need support correcting my goddamn delivery address,SHIPPING_ADDRESS,change_shipping_address
BI,can you tell me about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
BP,I would like to know about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BLMQ,i have issues trying to correct my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIP,would it be possible to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BIP,could you tell me more about changing my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BI,can you give me information about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
BL,there is an issue updating my delivery address,SHIPPING_ADDRESS,change_shipping_address
B,I try to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BLM,I need supports trying to edit my address,SHIPPING_ADDRESS,change_shipping_address
BE,I do not know what to do to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I can't change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BELQ,I'm looking for information about changing my address,SHIPPING_ADDRESS,change_shipping_address
B,I have got to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,my shipping address changed,SHIPPING_ADDRESS,change_shipping_address
BL,I don't know what to do to edit the address,SHIPPING_ADDRESS,change_shipping_address
B,help me change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BL,I need information about modifying the address,SHIPPING_ADDRESS,change_shipping_address
BIL,is it possible to edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address
B,I have chosen a wrong shipping address,SHIPPING_ADDRESS,change_shipping_address
BCIQ,the shipping address has changed can uchange it,SHIPPING_ADDRESS,change_shipping_address
B,help me changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I can't change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BLQ,want assistance trying to correct my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIL,where to change the delivery address?,SHIPPING_ADDRESS,change_shipping_address
B,tell me about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,how can I change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,the shipping address has changed,SHIPPING_ADDRESS,change_shipping_address
BLQ,want support trying to edit the shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,can you help me change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,I want to know about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,assistance to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BI,where to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
B,I don't know what I have to do to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BELZ,I cannot modify the  shipping address,SHIPPING_ADDRESS,change_shipping_address
BLM,I need supports trying to update the shipping address,SHIPPING_ADDRESS,change_shipping_address
BLQZ,i want support updatng the address,SHIPPING_ADDRESS,change_shipping_address
BCILQZ,need to modify thedelivery address can uhelp me,SHIPPING_ADDRESS,change_shipping_address
B,I need help trying to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,help with a shipping address change,SHIPPING_ADDRESS,change_shipping_address
B,assistance with a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BLQ,i want assistance to change the address,SHIPPING_ADDRESS,change_shipping_address
B,I want to know more about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
BI,how can I find information about a shipping address change?,SHIPPING_ADDRESS,change_shipping_address
B,I need information about a shipping address change,SHIPPING_ADDRESS,change_shipping_address
B,I chose a wrong shipping address by mistake,SHIPPING_ADDRESS,change_shipping_address
B,I want assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I have an issue changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
BLM,I don't know what I need to do to check the early exit fees,CANCELLATION_FEE,check_cancellation_fee
BL,assistance to check the early termination penalty,CANCELLATION_FEE,check_cancellation_fee
BCEILMQ,i cannot find the early exit penalties can uhelp me,CANCELLATION_FEE,check_cancellation_fee
BLQZ,i want assistance checking the early  exit fee,CANCELLATION_FEE,check_cancellation_fee
B,I need assistance to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BE,I cannot find the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
B,help me to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLQZ,want help to see the cancellation penaltyh,CANCELLATION_FEE,check_cancellation_fee
BLMQ,need help seeing the withdrawal penalties,CANCELLATION_FEE,check_cancellation_fee
BLMQZ,i want assistance checking the early termination feees,CANCELLATION_FEE,check_cancellation_fee
BCILMQZ,i have to see te early exit fees can i get some help,CANCELLATION_FEE,check_cancellation_fee
BLZ,help checkingf the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
BEM,I cannot find the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BMP,I would like to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BM,check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BILQ,how to see the withdrawal charge,CANCELLATION_FEE,check_cancellation_fee
BLM,assistance to check the early termination fees,CANCELLATION_FEE,check_cancellation_fee
BI,what do I need to do to check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BM,help checking the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BIMP,where could I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BLQ,wanna check the termination fee,CANCELLATION_FEE,check_cancellation_fee
BLMW,I want assistance checking the goddamn early exit penalties,CANCELLATION_FEE,check_cancellation_fee
B,I don't know how I can check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLM,see the early termination fees,CANCELLATION_FEE,check_cancellation_fee
BILM,where can I see the termination fees?,CANCELLATION_FEE,check_cancellation_fee
BM,I don't know what to do to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
B,I want to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BM,I can't find the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BI,where can I check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BI,how much will you charge me if I break the contract?,CANCELLATION_FEE,check_cancellation_fee
BP,I would like to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLMZ,check the early exit penaltie,CANCELLATION_FEE,check_cancellation_fee
BCILQZ,i have to check the  early termination fee can uhelp me,CANCELLATION_FEE,check_cancellation_fee
BILMQ,can uhelp me see the withdrawal charges,CANCELLATION_FEE,check_cancellation_fee
BEP,I do not know how I could check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BELQZ,i  do not know how i can see the early exit penalty,CANCELLATION_FEE,check_cancellation_fee
BIP,could you help me check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BLM,I want help to see the early exit charges,CANCELLATION_FEE,check_cancellation_fee
BLM,I don't know what to do to see the withdrawal fees,CANCELLATION_FEE,check_cancellation_fee
B,I don't know how to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BIMP,would it be possible to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BILZ,can you help me checking the termination charge ?,CANCELLATION_FEE,check_cancellation_fee
BK,check cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLM,help checking the withdrawal charges,CANCELLATION_FEE,check_cancellation_fee
BIM,where can I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BLQ,i need help to see the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
BLQZ,need to check the  cancellation charge,CANCELLATION_FEE,check_cancellation_fee
BIM,how to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BLMW,I am trying to see the goddamn early termination charges,CANCELLATION_FEE,check_cancellation_fee
BI,where do I check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BIM,what are the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BIL,can you show me the termination penalty?,CANCELLATION_FEE,check_cancellation_fee
BILQZ,can uhelp me checkimg the early exit penalty,CANCELLATION_FEE,check_cancellation_fee
BILQW,where to check the goddamn withdrawal charge,CANCELLATION_FEE,check_cancellation_fee
BIQ,can uhelp me check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
B,I try to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BILMQ,where to check the termination penalties,CANCELLATION_FEE,check_cancellation_fee
BL,I want to check the early exit fee,CANCELLATION_FEE,check_cancellation_fee
BI,what is the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BIMP,how could I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BM,I want help to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BIM,how do I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BEMP,I do not know how I could check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BILMQ,can uhelp me seeing the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BLM,I don't know how to check the termination penalties,CANCELLATION_FEE,check_cancellation_fee
BM,I need to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BL,I have got to see the termination charge,CANCELLATION_FEE,check_cancellation_fee
BLQ,I'm trying to check the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
B,I don't know what to do to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BI,how do I check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BE,I do not know how to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLM,I need assistance to check the early termination charges,CANCELLATION_FEE,check_cancellation_fee
B,I want help checking the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLMQ,need assistance seeing the termination charges,CANCELLATION_FEE,check_cancellation_fee
BILQ,what do i have to do to check the withdrawal charge,CANCELLATION_FEE,check_cancellation_fee
BCELMQ,i cannot find the termination penalties i need help,CANCELLATION_FEE,check_cancellation_fee
BIP,could you help me to check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
B,I want assistance checking the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLM,help to see the termination penalties,CANCELLATION_FEE,check_cancellation_fee
BIM,can you help me checking the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BLM,I need help to check the cancellation penalties,CANCELLATION_FEE,check_cancellation_fee
BIL,is it possible to see the withdrawal penalty?,CANCELLATION_FEE,check_cancellation_fee
B,I want help to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLM,show me the termination fees,CANCELLATION_FEE,check_cancellation_fee
BIM,is it possible to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BCILMQ,i have got to check the withdrawal fees can uhelp me,CANCELLATION_FEE,check_cancellation_fee
BI,can you help me to check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BLM,I need help to check the termination penalties,CANCELLATION_FEE,check_cancellation_fee
BLM,I need help checking the cancellation charges,CANCELLATION_FEE,check_cancellation_fee
BILM,where do I see the withdrawal charges?,CANCELLATION_FEE,check_cancellation_fee
BM,I have to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BLMQ,i have got to see the cancellation charges,CANCELLATION_FEE,check_cancellation_fee
BM,I want to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BM,I don't know how to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BMP,I don't know how I could check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BILMQ,can uhelp me see the early termination charges,CANCELLATION_FEE,check_cancellation_fee
BILMZ,is it possible to check the early termimation penalties?,CANCELLATION_FEE,check_cancellation_fee
BIL,can you help me to see the early termination charge?,CANCELLATION_FEE,check_cancellation_fee
BLMQZ,i want assistance checking the withdrawal  fees,CANCELLATION_FEE,check_cancellation_fee
BIM,what do I have to do to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BELMQ,i do not know how to see the early termination penalties,CANCELLATION_FEE,check_cancellation_fee
B,I need help to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BL,show me the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
BLQ,need assistance checking the early termination charge,CANCELLATION_FEE,check_cancellation_fee
B,I can't find the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BL,I don't know what to do to check the withdrawal penalty,CANCELLATION_FEE,check_cancellation_fee
BI,is it possible to check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BLQ,want help seeing the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
BIP,could you show me the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BLM,I don't know how I can check the withdrawal penalties,CANCELLATION_FEE,check_cancellation_fee
BCEIQ,i cannot find the cancellation fee what can i do,CANCELLATION_FEE,check_cancellation_fee
BLQ,want help seeing the withdrawal fee,CANCELLATION_FEE,check_cancellation_fee
BILZ,how can I check the termniation fee?,CANCELLATION_FEE,check_cancellation_fee
BELMQ,i do not know what to do to check the withdrawal charges,CANCELLATION_FEE,check_cancellation_fee
BELMQZ,i do not know hwat to do to see the withdrawal charges,CANCELLATION_FEE,check_cancellation_fee
BCELZ,"I cannott find the early exit penalty, I need assistance",CANCELLATION_FEE,check_cancellation_fee
BLZ,I try to check the eazrly termination penalty,CANCELLATION_FEE,check_cancellation_fee
BCILQZ,need to check the cancllation penalty how do i do it,CANCELLATION_FEE,check_cancellation_fee
BIMP,could you help me check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BLMQ,i dont know how i can check the withdrawal penalties,CANCELLATION_FEE,check_cancellation_fee
BL,seeing early termination charge,CANCELLATION_FEE,check_cancellation_fee
BELM,I cannot find the early termination penalties,CANCELLATION_FEE,check_cancellation_fee
B,assistance checking the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BLM,I need assistance to see the cancellation penalties,CANCELLATION_FEE,check_cancellation_fee
BEM,I do not know how I can check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BLM,I try to see the early termination penalties,CANCELLATION_FEE,check_cancellation_fee
BM,I need assistance to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BLM,see the termination penalties,CANCELLATION_FEE,check_cancellation_fee
BM,I am trying to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BCEILM,"I cannot find the early termination fees, can you help me?",CANCELLATION_FEE,check_cancellation_fee
BILM,can you help me checking the termination penalties?,CANCELLATION_FEE,check_cancellation_fee
BCELMZ,"I cannot find the termination charges, I needhelp",CANCELLATION_FEE,check_cancellation_fee
BM,show me the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BIMP,could you help me to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BLMW,help me see the bloody cancellation charges,CANCELLATION_FEE,check_cancellation_fee
BIL,can you help me see the withdrawal fee?,CANCELLATION_FEE,check_cancellation_fee
BCIQ,i have got to check the cancellation fee how can i do it,CANCELLATION_FEE,check_cancellation_fee
BLMQW,i want help checking the damn termination penalties,CANCELLATION_FEE,check_cancellation_fee
BM,I want assistance checking the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BM,help me check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BM,help me checking the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
B,I want assistance to check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BL,I need help to see the early termination charge,CANCELLATION_FEE,check_cancellation_fee
BIM,can you help me check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BLM,I want help seeing the withdrawal fees,CANCELLATION_FEE,check_cancellation_fee
BM,I need assistance checking the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BCELMQWZ,i cannot find the goddamn earpy exit charges i need help,CANCELLATION_FEE,check_cancellation_fee
BM,I don't know how I can check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BLM,I can't find the termination charges,CANCELLATION_FEE,check_cancellation_fee
BELQ,i do not know how i can see the cancellation charge,CANCELLATION_FEE,check_cancellation_fee
BI,how can I check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BI,what is the charge for breaking the contract?,CANCELLATION_FEE,check_cancellation_fee
BI,how much would you charge me for breaking the contract?,CANCELLATION_FEE,check_cancellation_fee
BLM,help to see the termination fees,CANCELLATION_FEE,check_cancellation_fee
B,cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BM,I have got to check the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
B,check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BI,how to check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BL,I don't know what to do to check the withdrawal charge,CANCELLATION_FEE,check_cancellation_fee
